INSTANCE,METHOD,OBJECTIVE,RUNTIME,GAP
A-n80-k10,2opt,1858.98,0.005782,5.4442
A-n80-k10,Exchange,1854.73,0.033333,5.2028
A-n80-k10,Shift,1852.26,0.0309,5.0631
CMT10,2opt,1548.72,0.065095,10.952
CMT10,Exchange,1546.09,0.561072,10.7631
CMT10,Shift,1551.16,0.337655,11.1269
E-n101-k14,2opt,1137.91,0.015105,6.6453
E-n101-k14,Exchange,1137.91,0.029176,6.6453
E-n101-k14,Shift,1139.07,0.016479,6.7546
F-n135-k7,2opt,1207.17,0.052436,3.887
F-n135-k7,Exchange,1215.98,0.071012,4.6453
F-n135-k7,Shift,1217.04,0.188389,4.7364
F-n72-k4,2opt,262.91,0.011878,10.9318
F-n72-k4,Exchange,262.91,0.021926,10.9318
F-n72-k4,Shift,263.29,0.033641,11.0912
Golden_18,2opt,1096.8,0.103078,10.2164
Golden_18,Exchange,1096.62,0.326217,10.199
Golden_18,Shift,1095.6,0.224512,10.0966
Golden_3,2opt,12408.85,0.175172,12.8303
Golden_3,Exchange,12425.06,0.216004,12.9777
Golden_3,Shift,12435.87,2.62595,13.0759
Li_21,2opt,18665.08,0.500646,15.1254
Li_21,Exchange,18717.21,0.362823,15.4469
Li_21,Shift,18674.67,27.249111,15.1845
M-n151-k12,2opt,1136.69,0.032497,11.9896
M-n151-k12,Exchange,1136.69,0.110393,11.9896
M-n151-k12,Shift,1138.7,0.091964,12.1871
Tai150b,2opt,2885.18,0.023847,5.7993
Tai150b,Exchange,2888.3,0.027983,5.9137
Tai150b,Shift,2872.57,0.437481,5.3371
Tai385,2opt,25370.27,0.198597,4.1199
Tai385,Exchange,25429.79,0.336803,4.3641
Tai385,Shift,25417.96,1.487865,4.3156
X-n502-k39,2opt,71608.49,0.39261,3.4416
X-n502-k39,Exchange,71803.71,0.331029,3.7236
X-n502-k39,Shift,71548.49,1.432636,3.3549
XL-n1701-k562,2opt,565501.37,4.447412,8.5132
XL-n1701-k562,Exchange,565504.17,5.18696,8.5137
XL-n1701-k562,Shift,565506.51,5.681259,8.5142
XL-n2541-k121,2opt,154703.35,12.066166,5.6789
XL-n2541-k121,Exchange,155319.96,8.912329,6.1001
XL-n2541-k121,Shift,155319.83,11.767224,6.1
