INSTANCE,2opt,Exchange,Shift
A-n80-k10,23.9408,69.2357,20.9635
CMT10,61.7984,123.323,32.5118
E-n101-k14,18.5678,27.1468,17.224
F-n135-k7,15.7102,94.3309,38.9941
F-n72-k4,23.1115,77.0872,26.7014
Golden_18,24.8443,101.0066,37.7067
Golden_3,114.9596,238.9391,47.9969
Li_21,121.4262,295.4368,50.8023
M-n151-k12,9.3347,99.5983,25.3849
Tai150b,14.5551,99.7148,23.524
Tai385,46.2507,135.9336,28.6982
X-n502-k39,6.5087,48.2333,32.2146
XL-n1701-k562,45.1048,49.6339,30.8604
XL-n2541-k121,25.6578,302.8396,137.7435
